"","entry.name","protein.description","peptides.rep1","peptides.rep2","psms.rep1","psms.rep2","phenodisco.input","phenodisco.output","curated.phenodisco.output","markers","svm.classification","svm.score","svm.top.quartile","final.assignment","first.evidence","curated.organelles","cytoskeletal.components","trafficking.proteins","protein.complexes","signalling.cascades","oct4.interactome","nanog.interactome","sox2.interactome","cell.surface.proteins","markers2015"
"Q8VDD5","MYH9_MOUSE","Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4 - [MYH9_MOUSE]",74,67,135,134,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.366,"unknown","unknown","N","unknown","Myosin","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"Q6PB66","LPPRC_MOUSE","Leucine-rich PPR motif-containing protein, mitochondrial OS=Mus musculus GN=Lrpprc PE=1 SV=2 - [LPPRC_MOUSE]",71,61,148,128,"Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q99PV0","PRP8_MOUSE","Pre-mRNA-processing-splicing factor 8 OS=Mus musculus GN=Prpf8 PE=1 SV=2 - [PRP8_MOUSE]",71,73,105,108,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.821,"unknown","Nucleus - Non-chromatin","N","unknown","unknown","unknown","Spliceosome","unknown","unknown","unknown","unknown","unknown","unknown"
"P11276","FINC_MOUSE","Fibronectin OS=Mus musculus GN=Fn1 PE=1 SV=4 - [FINC_MOUSE]",64,52,100,80,"unknown","Phenotype 8","unknown","Extracellular matrix","Extracellular matrix",1,"Extracellular matrix","Extracellular matrix","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Extracellular matrix"
"Q6PR54","RIF1_MOUSE","Telomere-associated protein RIF1 OS=Mus musculus GN=Rif1 PE=1 SV=2 - [RIF1_MOUSE]",62,63,112,102,"unknown","Phenotype 1","Nucleus - Chromatin","Nucleus - Chromatin","Nucleus - Chromatin",1,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","Pluripotency","Prey","unknown","unknown","unknown","Nucleus - Chromatin"
"Q05793","PGBM_MOUSE","Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1 - [PGBM_MOUSE]",61,46,83,62,"unknown","Endoplasmic reticulum/Golgi apparatus","unknown","Extracellular matrix","Extracellular matrix",1,"Extracellular matrix","Extracellular matrix","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","Extracellular matrix"
"Q71LX4","TLN2_MOUSE","Talin-2 OS=Mus musculus GN=Tln2 PE=1 SV=3 - [TLN2_MOUSE]",60,72,93,112,"unknown","unknown","unknown","unknown","Plasma membrane",0.782,"unknown","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P19096","FAS_MOUSE","Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=2 - [FAS_MOUSE]",57,63,96,93,"unknown","Phenotype 5","Cytosol","Cytosol","Cytosol",1,"Cytosol","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","Cytosol"
"Q9WTQ5","AKA12_MOUSE","A-kinase anchor protein 12 OS=Mus musculus GN=Akap12 PE=1 SV=1 - [AKA12_MOUSE]",56,58,114,134,"unknown","unknown","unknown","unknown","Actin cytoskeleton",0.163,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9JKF1","IQGA1_MOUSE","Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=1 SV=2 - [IQGA1_MOUSE]",56,61,110,124,"Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane",1,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Plasma membrane"
"Q8CG48","SMC2_MOUSE","Structural maintenance of chromosomes protein 2 OS=Mus musculus GN=Smc2 PE=1 SV=2 - [SMC2_MOUSE]",56,49,106,87,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.235,"unknown","unknown","N","unknown","unknown","unknown","13S condensin complex","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9QZQ1-2","AFAD_MOUSE","Isoform 1 of Afadin OS=Mus musculus GN=Mllt4 - [AFAD_MOUSE]",56,65,105,104,"Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane",1,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Plasma membrane"
"Q7TPV4","MBB1A_MOUSE","Myb-binding protein 1A OS=Mus musculus GN=Mybbp1a PE=1 SV=2 - [MBB1A_MOUSE]",55,55,101,100,"unknown","Phenotype 2","unknown","unknown","Nucleus - Non-chromatin",0.933,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"A2AGT5","CKAP5_MOUSE","Cytoskeleton-associated protein 5 OS=Mus musculus GN=Ckap5 PE=2 SV=1 - [CKAP5_MOUSE]",55,53,96,79,"unknown","unknown","unknown","unknown","Peroxisome",0.21,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q6NS46","RRP5_MOUSE","Protein RRP5 homolog OS=Mus musculus GN=Pdcd11 PE=2 SV=2 - [RRP5_MOUSE]",54,58,88,92,"unknown","Phenotype 2","Nucleus - Non-chromatin","Nucleus - Non-chromatin","Nucleus - Non-chromatin",1,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Putative","Nucleus - Non-chromatin"
"Q91ZU6-4","DYST_MOUSE","Isoform 4 of Dystonin OS=Mus musculus GN=Dst - [DYST_MOUSE]",53,90,62,108,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.52,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q61879","MYH10_MOUSE","Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2 - [MYH10_MOUSE]",52,62,88,104,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.57,"unknown","unknown","N","unknown","Myosin","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P54276","MSH6_MOUSE","DNA mismatch repair protein Msh6 OS=Mus musculus GN=Msh6 PE=1 SV=3 - [MSH6_MOUSE]",51,47,106,89,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.46,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown","unknown"
"Q9CU62","SMC1A_MOUSE","Structural maintenance of chromosomes protein 1A OS=Mus musculus GN=Smc1a PE=1 SV=4 - [SMC1A_MOUSE]",50,43,94,72,"unknown","Phenotype 1","Nucleus - Chromatin","Nucleus - Chromatin","Nucleus - Chromatin",1,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","Cohesin complex","unknown","Prey","unknown","unknown","unknown","Nucleus - Chromatin"
"Q6P5E4","UGGG1_MOUSE","UDP-glucose:glycoprotein glucosyltransferase 1 OS=Mus musculus GN=Uggt1 PE=1 SV=4 - [UGGG1_MOUSE]",49,53,88,90,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus"
"O88307","SORL_MOUSE","Sortilin-related receptor OS=Mus musculus GN=Sorl1 PE=2 SV=3 - [SORL_MOUSE]",49,45,79,56,"unknown","unknown","unknown","unknown","Endosome",0.452,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P46735","MYO1B_MOUSE","Unconventional myosin-Ib OS=Mus musculus GN=Myo1b PE=2 SV=3 - [MYO1B_MOUSE]",48,42,94,73,"unknown","Plasma membrane","unknown","unknown","Plasma membrane",0.863,"Plasma membrane","Plasma membrane","N","unknown","Unconventional Myosin","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q01320","TOP2A_MOUSE","DNA topoisomerase 2-alpha OS=Mus musculus GN=Top2a PE=1 SV=2 - [TOP2A_MOUSE]",48,53,92,113,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.901,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown"
"Q5XG71","UTP20_MOUSE","Small subunit processome component 20 homolog OS=Mus musculus GN=Utp20 PE=2 SV=2 - [UTP20_MOUSE]",48,55,64,73,"unknown","Phenotype 2","Nucleus - Non-chromatin","Nucleus - Non-chromatin","Nucleus - Non-chromatin",1,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Nucleus - Non-chromatin"
"Q60767","LY75_MOUSE","Lymphocyte antigen 75 OS=Mus musculus GN=Ly75 PE=1 SV=2 - [LY75_MOUSE]",47,51,86,83,"unknown","unknown","unknown","unknown","Endosome",0.611,"Endosome","Endosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9CW03","SMC3_MOUSE","Structural maintenance of chromosomes protein 3 OS=Mus musculus GN=Smc3 PE=1 SV=2 - [SMC3_MOUSE]",47,44,77,71,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.782,"unknown","Nucleus - Chromatin","N","unknown","unknown","unknown","Cohesin complex","unknown","unknown","Prey","unknown","unknown","unknown"
"P58252","EF2_MOUSE","Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2 - [EF2_MOUSE]",46,43,117,113,"unknown","unknown","unknown","unknown","40S Ribosome",0.453,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"P16546;P16546-2","SPTN1_MOUSE","Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus GN=Sptan1 PE=1 SV=4 - [SPTN1_MOUSE]|Isoform 2 of Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus GN=Sptan1 - [SPTN1_MOUSE]",46,8,58,9,"unknown","Endoplasmic reticulum/Golgi apparatus","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.468,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P09405","NUCL_MOUSE","Nucleolin OS=Mus musculus GN=Ncl PE=1 SV=2 - [NUCL_MOUSE]",45,54,116,166,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.55,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Non-Specific","unknown"
"Q6ZQ38","CAND1_MOUSE","Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus GN=Cand1 PE=2 SV=2 - [CAND1_MOUSE]",45,39,93,69,"unknown","unknown","unknown","unknown","Cytosol",0.217,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q5FWI3","TMEM2_MOUSE","Transmembrane protein 2 OS=Mus musculus GN=Tmem2 PE=1 SV=1 - [TMEM2_MOUSE]",45,38,84,65,"unknown","unknown","unknown","unknown","Plasma membrane",0.564,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Non-Specific","unknown"
"Q9Z0U1","ZO2_MOUSE","Tight junction protein ZO-2 OS=Mus musculus GN=Tjp2 PE=1 SV=2 - [ZO2_MOUSE]",45,40,81,62,"unknown","unknown","unknown","unknown","Actin cytoskeleton",0.396,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P51432","PLCB3_MOUSE","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS=Mus musculus GN=Plcb3 PE=2 SV=2 - [PLCB3_MOUSE]",45,38,65,60,"unknown","Plasma membrane","unknown","unknown","Plasma membrane",0.818,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Putative","unknown"
"P26231","CTNA1_MOUSE","Catenin alpha-1 OS=Mus musculus GN=Ctnna1 PE=1 SV=1 - [CTNA1_MOUSE]",44,42,139,144,"Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane",1,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","Adherens junction","unknown","unknown","unknown","unknown","unknown","Plasma membrane"
"G5E870","TRIPC_MOUSE","E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus GN=Trip12 PE=1 SV=1 - [TRIPC_MOUSE]",44,50,67,71,"unknown","unknown","unknown","unknown","60S Ribosome",0.203,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q6P5D8","SMHD1_MOUSE","Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Mus musculus GN=Smchd1 PE=1 SV=2 - [SMHD1_MOUSE]",44,36,52,44,"unknown","Phenotype 1","Nucleus - Chromatin","Nucleus - Chromatin","Nucleus - Chromatin",1,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Nucleus - Chromatin"
"P38647","GRP75_MOUSE","Stress-70 protein, mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3 - [GRP75_MOUSE]",43,44,114,146,"Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"P02468","LAMC1_MOUSE","Laminin subunit gamma-1 OS=Mus musculus GN=Lamc1 PE=1 SV=2 - [LAMC1_MOUSE]",43,49,73,69,"unknown","Endoplasmic reticulum/Golgi apparatus","unknown","Extracellular matrix","Extracellular matrix",1,"Extracellular matrix","Extracellular matrix","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Extracellular matrix"
"Q9JIK5","DDX21_MOUSE","Nucleolar RNA helicase 2 OS=Mus musculus GN=Ddx21 PE=1 SV=3 - [DDX21_MOUSE]",42,39,93,90,"unknown","Phenotype 2","Nucleus - Non-chromatin","Nucleus - Non-chromatin","Nucleus - Non-chromatin",1,"Nucleus - Non-chromatin","Nucleus - Non-chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Nucleus - Non-chromatin"
"Q64727","VINC_MOUSE","Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4 - [VINC_MOUSE]",42,42,72,61,"unknown","unknown","unknown","unknown","Cytosol",0.363,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"O08784","TCOF_MOUSE","Treacle protein OS=Mus musculus GN=Tcof1 PE=1 SV=1 - [TCOF_MOUSE]",42,41,71,62,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.27,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q922D8","C1TC_MOUSE","C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus GN=Mthfd1 PE=1 SV=4 - [C1TC_MOUSE]",41,33,93,83,"unknown","unknown","unknown","unknown","60S Ribosome",0.673,"60S Ribosome","60S Ribosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"O70318","E41L2_MOUSE","Band 4.1-like protein 2 OS=Mus musculus GN=Epb41l2 PE=1 SV=2 - [E41L2_MOUSE]",41,42,77,83,"unknown","Plasma membrane","unknown","unknown","Plasma membrane",0.873,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9EP71","RAI14_MOUSE","Ankycorbin OS=Mus musculus GN=Rai14 PE=1 SV=1 - [RAI14_MOUSE]",41,48,63,70,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.385,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P20029","GRP78_MOUSE","78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3 - [GRP78_MOUSE]",40,41,125,156,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus"
"Q62351","TFR1_MOUSE","Transferrin receptor protein 1 OS=Mus musculus GN=Tfrc PE=1 SV=1 - [TFR1_MOUSE]",40,31,99,104,"unknown","unknown","unknown","Endosome","Endosome",0.615,"Endosome","Endosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q587J6","LITD1_MOUSE","LINE-1 type transposase domain-containing protein 1 OS=Mus musculus GN=L1td1 PE=2 SV=1 - [LITD1_MOUSE]",40,36,86,85,"unknown","unknown","unknown","unknown","Peroxisome",0.357,"unknown","unknown","Y","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown","unknown","unknown"
"Q61739","ITA6_MOUSE","Integrin alpha-6 OS=Mus musculus GN=Itga6 PE=1 SV=3 - [ITA6_MOUSE]",40,46,86,99,"Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane",1,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","Plasma membrane"
"Q9Z1Q9","SYVC_MOUSE","Valine--tRNA ligase OS=Mus musculus GN=Vars PE=2 SV=1 - [SYVC_MOUSE]",40,35,72,55,"unknown","unknown","unknown","unknown","Peroxisome",0.209,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q61595;Q61595-3;Q61595-5;Q61595-9","KTN1_MOUSE","Kinectin OS=Mus musculus GN=Ktn1 PE=1 SV=1 - [KTN1_MOUSE]|Isoform 11 of Kinectin OS=Mus musculus GN=Ktn1 - [KTN1_MOUSE]|Isoform 13 of Kinectin OS=Mus musculus GN=Ktn1 - [KTN1_MOUSE]|Isoform 3 of Kinectin OS=Mus musculus GN=Ktn1 - [KTN1_MOUSE]|Isoform 5 of Kinectin OS=Mus musculus GN=Ktn1 - [KTN1_MOUSE]|Isoform 9 of Kinectin OS=Mus musculus GN=Ktn1 - [KTN1_MOUSE]",40,3,69,3,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.803,"unknown","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"P63038","CH60_MOUSE","60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1 - [CH60_MOUSE]",39,43,165,295,"Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","Mitochondrion","unknown","unknown","unknown","Mitochondrion"
"P08113","ENPL_MOUSE","Endoplasmin OS=Mus musculus GN=Hsp90b1 PE=1 SV=2 - [ENPL_MOUSE]",39,40,96,178,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","Glucosidase II complex","unknown","unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus"
"Q61316","HSP74_MOUSE","Heat shock 70 kDa protein 4 OS=Mus musculus GN=Hspa4 PE=1 SV=1 - [HSP74_MOUSE]",39,39,80,97,"unknown","Phenotype 5","Cytosol","Cytosol","Cytosol",1,"Cytosol","Cytosol","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Non-Specific","Cytosol"
"P43247","MSH2_MOUSE","DNA mismatch repair protein Msh2 OS=Mus musculus GN=Msh2 PE=2 SV=1 - [MSH2_MOUSE]",39,33,73,61,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.469,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown","Non-Specific","unknown"
"Q69ZN7","MYOF_MOUSE","Myoferlin OS=Mus musculus GN=Myof PE=1 SV=2 - [MYOF_MOUSE]",39,42,63,74,"unknown","unknown","unknown","unknown","Lysosome",0.781,"Lysosome","Lysosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8VDJ3","VIGLN_MOUSE","Vigilin OS=Mus musculus GN=Hdlbp PE=1 SV=1 - [VIGLN_MOUSE]",38,39,65,60,"unknown","unknown","unknown","unknown","60S Ribosome",0.315,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q61543","GSLG1_MOUSE","Golgi apparatus protein 1 OS=Mus musculus GN=Glg1 PE=1 SV=1 - [GSLG1_MOUSE]",38,45,60,79,"unknown","unknown","unknown","unknown","Extracellular matrix",0.489,"Extracellular matrix","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8CG47","SMC4_MOUSE","Structural maintenance of chromosomes protein 4 OS=Mus musculus GN=Smc4 PE=1 SV=1 - [SMC4_MOUSE]",38,41,58,62,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.261,"unknown","unknown","N","unknown","unknown","unknown","13S condensin complex","unknown","unknown","unknown","unknown","unknown","unknown"
"Q62261;Q62261-2","SPTB2_MOUSE","Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2 - [SPTB2_MOUSE]|Isoform 2 of Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 - [SPTB2_MOUSE]",38,5,56,5,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.182,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"Q6PDQ2","CHD4_MOUSE","Chromodomain-helicase-DNA-binding protein 4 OS=Mus musculus GN=Chd4 PE=1 SV=1 - [CHD4_MOUSE]",38,38,47,46,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.92,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","NuRD complex","unknown","Prey","Prey","Prey","unknown","unknown"
"P11103","ADP-ribose","Poly [ADP-ribose] polymerase 1 OS=Mus musculus GN=Parp1 PE=1 SV=3 - [PARP1_MOUSE]",37,34,82,79,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.926,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
